SampleID,Normalization,Panel,Plate,Adj_factor,UniProt,OlinkID,Donor,Celltype,Stimulation,CD56status,Celltype_CD56status,Assay,LOD,NPX
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,IL-8,-0.67262,1.48475
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,NK,IL-12 + IL-18,NA,NK,IL-8,-0.67262,2.52731
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,IL-8,-0.67262,-1.66335
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,IL-8,-0.67262,3.49797
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,MAIT,control,CD56pos,CD56+ MAIT,IL-8,-0.67262,-1.38782
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,IL-8,-0.67262,1.24095
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,IL-8,-0.67262,2.50286
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,CD8T,PMA + Ionomycin,NA,CD8T,IL-8,-0.67262,3.15298
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,MAIT,control,CD56pos,CD56+ MAIT,IL-8,-0.67262,-1.73382
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,IL-8,-0.67262,-1.6882
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,IL-8,-0.67262,-1.54578
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,IL-8,-0.67262,3.41389
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,NK,IL-12 + IL-18,NA,NK,IL-8,-0.67262,2.85785
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,MAIT,control,CD56pos,CD56+ MAIT,IL-8,-0.67262,-1.75744
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,IL-8,-0.67262,-1.36171
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,NK,control,NA,NK,IL-8,-0.67262,2.19265
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,IL-8,-0.67262,-0.85695
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,MAIT,control,CD56neg,CD56- MAIT,IL-8,-0.67262,-0.99249
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,NK,control,NA,NK,IL-8,-0.67262,2.51811
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,MAIT,control,CD56neg,CD56- MAIT,IL-8,-0.67262,-1.47982
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,CD8T,PMA + Ionomycin,NA,CD8T,IL-8,-0.67262,2.24114
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,NK,IL-12 + IL-18,NA,NK,IL-8,-0.67262,4.91751
